b_Intercept,sd_doctor__Intercept,sd_picture__Intercept,sigma
1.659547686066106,0.28066755615586714,0.15801846942030692,0.37817485173303056
1.6669628296406702,0.3537975202458735,0.1537597806435574,0.377653236505913
1.6225318815635221,0.24434682176936465,0.16641179521718147,0.3843381742597726
1.6627649530697217,0.2487510176746409,0.15711995898133366,0.3762002122106555
1.56468270389572,0.19879099505914472,0.16106969968227142,0.3823939758207903
1.5955662178570107,0.2928529671154356,0.15428110060091596,0.3748939958746966
1.6970726324711924,0.2653297948891401,0.16988196796956087,0.3692099097950456
1.7107189846030786,0.3181864074739119,0.17459808355159823,0.37498730721526397
1.6689319222439536,0.2834703687728754,0.17686355798295092,0.37933536552615976
1.6763517518867925,0.31751325623416565,0.1533345477467598,0.383855954551699
1.6391722384289926,0.24671627990356892,0.15016922135097824,0.3843077540189343
1.645755360743204,0.24484201245991222,0.16515900262938274,0.3709965792577644
1.6292134321452647,0.21283365019449293,0.14724796111235877,0.3761948180785374
1.5669527244409802,0.26582724958908455,0.16799969858677946,0.3766562148534126
1.7052750962210397,0.26635397898045005,0.17648284912496373,0.38278127039555054
1.6444339719809324,0.347337618114525,0.1688184867642012,0.38112030980205663
1.5470108329999916,0.5189368288545652,0.15937393539268327,0.37340505250652334
1.6760476297181557,0.2799832085322911,0.15140656917702783,0.3771790075038931
1.6545187965519192,0.32317713444118673,0.16606579672615449,0.37646909372881676
1.702853973793296,0.27060660700198985,0.15878083467290763,0.38114168754088124
1.7152995212475348,0.34131181358432106,0.1575643762269578,0.38044928910144155
1.7286039760027276,0.24386728693883075,0.1586613200436383,0.3787855863673346
1.6425663758977798,0.3028910902854437,0.16850226316186287,0.382107663977354
1.6367695000608153,0.28429745639085396,0.16108589137225734,0.3835543950909093
1.6162378450901869,0.20241890659766665,0.1729317830512356,0.3794234297998955
1.720600743631061,0.3669738304177704,0.1522222419564738,0.3835635772187127
1.7618481250089826,0.22962260577306237,0.16667492601485392,0.37747849980923875
1.713992220960363,0.30301401047773696,0.1588108319914009,0.38238518859139586
1.6939982439393075,0.32071331127725344,0.16550787932541483,0.38638987563578986
1.6093674791740642,0.22974702179250153,0.16122784220782302,0.37765656101649403
1.58376049185289,0.2888794857251797,0.1645903575307689,0.3702376118442728
1.580083579321102,0.3347849806070508,0.17076793342148344,0.3715429220256804
1.586427028200514,0.3591386411680866,0.1620228223447099,0.3761776482571267
1.5515936382548723,0.24487319731127336,0.17110492651207088,0.3790475702125261
1.5864510370798333,0.23751399393493067,0.16537568825135027,0.3715539535117547
