b_Intercept,b_polypc1M0.521,b_polypc1M0.522,sd_doctor__Intercept,sd_picture__Intercept
-1.5252104454833046,-1.0136246536520581,-44.06796026744807,0.5757501557129309,0.06634230369875645
-1.4205705181864814,-2.85341916891333,-48.379904844397586,0.4438946340608104,0.13239678022144127
-1.5024781297275767,3.0461424554224523,-55.816504086023635,0.43529708500336006,0.2796704150800717
-1.534318363451559,0.2892385961921828,-60.616140411840675,0.4343364012994937,0.22506248767569553
-1.5616289940042933,-1.503462713121293,-39.81762253593949,0.3538808590622052,0.19311029515669703
-1.5680534030940374,5.546104144840334,-48.69880169589102,0.3957024493379411,0.22684213043491955
-1.4425062738563452,-8.026949713536874,-50.280546566245,0.42659408364940365,0.39413261751226925
-1.5984781113337658,0.2105841190990112,-49.36094936638341,0.48623798967739074,0.2116964544888364
-1.376021846893293,-2.815299989664563,-43.53232692936089,0.5121204375604881,0.08239818013097554
-1.5747253466887268,-3.9465891517494684,-53.788474322193665,0.38762539567388943,0.25373834354912644
-1.3867601038969601,-0.014929515073330069,-48.63203129578152,0.3617286379313185,0.15098782337971933
-1.51326594738065,-1.0289091334525295,-50.32514602221289,0.39028232846921035,0.23612249113756514
-1.3988373440573492,6.425607968871086,-52.229557202382495,0.5358114482554454,0.3266698483778964
-1.536108030355686,-5.062119925964685,-58.111397251386705,0.4703831431364326,0.3065634419744601
-1.5166522933907745,-1.9984638942378694,-47.18706314793881,0.5174204617130088,0.15509595333460113
-1.3492125110135498,-3.117290722049507,-52.80173162143565,0.5123714480864043,0.16575351924811613
-1.5415064460799723,-3.668129234806436,-44.44871199091537,0.38695225245038095,0.17772854284027165
-1.58257427047473,-0.37157027274173415,-51.15173518231904,0.5159291914911283,0.2328169541344669
-1.4686023594106197,0.6022475070897114,-52.102605849756756,0.4924492328757141,0.1753600135860264
-1.5763609257049997,-1.4894345657226316,-53.07305906065259,0.37749577135191614,0.21067378759149308
-1.5125240396544826,10.7643218257114,-55.62759259526144,0.43075504720135555,0.1817218509018485
-1.4603235976082811,-1.084785495600177,-51.32559709433809,0.3949148305226634,0.15822992942499892
-1.4277306346649872,-6.718112123431817,-45.99230124879401,0.49260392457768803,0.0736435163634029
-1.51480304785334,2.3777548970533706,-49.85456766821776,0.4560771119932639,0.10090109890876178
-1.431299974608099,-1.259542402611475,-47.95294828953717,0.44820658514622697,0.1670212441830438
-1.5130577139787362,-3.9709861285981516,-48.15950444840882,0.4893955545276604,0.1374155475292858
-1.4164978106875736,-2.885363752309788,-47.69870183065793,0.5612139850832911,0.09073135879862593
-1.4602167748900066,-1.8021062669800496,-43.286666900484065,0.6286454591313819,0.05881633637083824
-1.492457865766068,-0.8055854894729559,-46.53062430502444,0.565502773901344,0.1255736982909069
-1.4780155771749828,-1.223566737109783,-49.45793708920144,0.4251449306054292,0.15838606642122152
-1.642182399744354,-2.355265057428525,-44.17921993118417,0.48917465951147543,0.15008579191683025
-1.55637539857261,-1.1618270378679045,-48.622352839620156,0.5128315015836971,0.12438475931981938
-1.548907672836926,2.7159132164653292,-49.65362577172353,0.4242691874828344,0.18584824034216005
-1.4468100846931582,-4.895938153887021,-49.43682675362595,0.4795286275978433,0.07190513571458143
-1.499075354197525,1.054125542838161,-43.98981445611423,0.4809336425989114,0.22339088343504143
-1.58438559715868,-3.5860659199296574,-46.538865187266104,0.37109620852757735,0.25951830708201495
-1.4813959462895838,-2.3772422623668055,-43.40557941555095,0.41142985588404746,0.21647486437335658
-1.427785262302364,-3.9622416952116044,-44.582272556530256,0.45885416127981943,0.16539994229464552
-1.5043436465145146,-0.31414015869443324,-42.996541082600295,0.5210424572360618,0.1965016373106463
-1.4391627995400387,-3.788542835033982,-46.679149307887286,0.49100800316679916,0.04985825375379016
