b_Intercept,b_polypc1M0.521,b_polypc1M0.522,sd_doctor__Intercept,sd_picture__Intercept
-2.664344733695122,-58.37618600454166,-27.582211954070157,0.648582915380923,0.0968525805100176
-2.2374520629701236,-56.280126941267845,-27.214164229821343,0.47221988225130146,0.11792055705977314
-2.4212308581521214,-55.78573298266688,-25.440518199566824,0.5034306949988113,0.07944499183917302
-2.1947109502679747,-56.920216435373185,-24.14083641808579,0.5644312231413908,0.0617078609889335
-2.6789980094429566,-60.12133525328358,-31.362376369834827,0.8409739574463283,0.11674637064179383
-2.167093648192463,-52.99502092904686,-27.54245394003933,0.5000859355281192,0.005239834377211055
-2.6611789269639265,-59.77166254808971,-31.05738318035482,0.6851386790553786,0.002405421977661511
-1.934227063143757,-52.86050000948725,-26.868312626060682,0.8847907339371616,0.05299175364754117
-2.4392663649704693,-61.10246583986509,-28.182314208836807,0.7633477852971524,0.035637399406183407
-2.316195303491169,-54.49097452877812,-22.497683700290924,0.8533706237627443,0.11768327469935283
-2.3136930002287985,-55.61557781369593,-26.857220706109388,0.9003883508601553,0.05071891857796523
-2.7513621824389825,-60.45306838663258,-24.787967699140427,0.7861680405145932,0.1054097933249078
-2.3898427453557227,-59.06612204904595,-26.899947639160384,0.49554244728626295,0.22976258592496412
-2.118386038253267,-57.28341796118926,-23.30023239026256,0.5703814574655316,0.09729404417217474
-2.4188982136176294,-59.231200678771,-28.204559629629895,0.5744750195130763,0.1912602881188124
-2.3820190680871853,-60.94214226324515,-25.704270432849288,0.5913381890363094,0.12515499423920307
-2.444239773037612,-59.037584518106364,-28.486667351999323,0.635756597850396,0.0651104692439807
-2.2815037445412956,-59.517893486124606,-34.43356446986783,0.4817709908805757,0.14842285742366215
-2.3016197103171043,-58.25494214368356,-27.121200648970547,0.5248034684885111,0.0890563698728939
-2.446152868142159,-57.128770227428085,-27.311110377793018,0.7645229503044235,0.05921992848499783
-2.2783625206508673,-54.108125940923856,-27.16942151804563,0.5759249253184726,0.12560202893998948
-2.251688151376394,-57.075704571040355,-23.42537613136001,0.43617410313055516,0.2192011575464022
-2.438902167592134,-57.919991110950455,-31.662035229664372,0.43879361665755734,0.0380451453042759
-2.5346972219412063,-61.02976748073712,-30.2703153941852,0.5473357098741626,0.2830785328617381
-2.202760857484934,-57.15152314002043,-24.80547930330805,0.7226804320119309,0.15667452045504512
-2.6191384626792606,-55.84523811644507,-24.523783845910945,0.5258446884193604,0.12274697020696569
-2.4290739883839985,-61.671209204440444,-29.475901205960348,0.4773581631503701,0.1015922935295122
-2.4219874715407257,-55.160674302757094,-25.840489073053288,0.8496893732701123,0.008586706333805039
-2.5502826153749614,-58.314581723323165,-21.83628052640566,0.5225066399735552,0.020423950314220604
-2.142093221637084,-57.30948498900758,-34.386576399685595,0.5720180903289338,0.030729705478440974
-2.0347111466258765,-63.07742122254849,-29.852538073264324,1.1240835481827443,0.16842787304403647
-2.7748475398842154,-63.079511344027885,-29.580988701092764,0.7363798803800478,0.13738998518094234
-2.193748968283928,-58.75503160106428,-24.641485494199014,0.5730350840764806,0.06353825567400273
-2.231881154435348,-57.57091861340377,-22.403630943046693,0.5908292429527285,0.17692876501875027
-2.3472270262217565,-56.256050835381096,-24.47329058280079,0.6252478111627092,0.012091320303733492
-2.5462515191922637,-61.946155176842055,-31.02066906475193,0.5683436682710195,0.11085548028858119
-2.4668353982370292,-61.47976977306986,-31.134939968680474,0.5244559286425954,0.06470818698149376
-2.1931630781215157,-64.69566794146601,-28.808167716527638,0.6464910313371266,0.2879051534300456
-2.510605810278516,-55.58957276227798,-28.59534862244254,0.7135740833358897,0.09269999373799168
-2.609299759059841,-55.88284054234439,-29.26215947779394,0.6264792508773807,0.047743988242791496
-2.295953461858368,-55.54384958480524,-25.636538660936004,0.5885692467512537,0.04355989409837218
-2.446684971044256,-58.359003716202515,-28.790033779257886,0.5624088544778033,0.10716203143490513
-2.370222000995936,-52.86047123174982,-30.890850556041304,0.601828462396946,0.15584582888282092
-2.507224604009221,-60.77937791885394,-27.862681866574903,0.6740262438604374,0.17555855740028875
-2.483411118780275,-58.686036843802285,-28.764969331486505,0.7870570111770478,0.1714262521648653
-2.637274476277117,-54.255767932725774,-24.53603578551907,0.4637739796769026,0.21498919569513494
-2.6391816261251573,-65.32526927216858,-31.017180450236626,0.5811563959202771,0.15596207093685951
-2.1357674660093515,-57.47808937793175,-27.93270904321833,0.6361630087241784,0.04397121057543684
